0,"[0, 338.0123151737305, 312.7284500434937]","[1, 1.511916214543362, 271.35979363154695]","[2, 81.35691419201049, 25.675590378873494]","[3, 255.82529933528247, 25.76044893963143]","[4, 66.61911344752565, 136.97572267426654]","[5, 128.48194341118142, 103.95493102640006]","[6, 52.24152394476857, 66.82067398370305]","[7, 276.8826261245514, 129.1252594833497]","[8, 135.36969214617608, 188.83971713378756]","[9, 216.8650180515302, 147.11024072670966]","[10, 146.4724909275409, 126.61607484004827]","[11, 276.982063996439, 309.1779783323557]","[12, 305.17768848430194, 239.75917557142395]","[13, 164.55047197354963, 196.94906436117225]","[14, 165.56212267242302, 99.03212812844049]","[15, 131.90711842361543, 127.20614784571569]","[16, 177.37374148474817, 103.47903128905358]","[17, 160.5906601104499, 336.97194226976626]","[18, 39.99815112587805, 265.89469175532577]","[19, 157.72512191691726, 134.74552379937393]","[20, 291.0186095703474, 328.82177861342745]","[21, 241.12949142719424, 105.1281166744061]","[22, 170.03848033510735, 311.7989552654749]","[23, 41.67545144490998, 359.3082401434732]","[24, 70.06550048275756, 353.14926138478575]","[25, 292.32302366611634, 294.1016952176577]","[26, 14.338708197937308, 123.49802112649179]","[27, 172.94258377546498, 234.00054948746276]","[28, 18.900600908247327, 265.6788545526897]","[29, 48.55154640586386, 112.57785010020704]","[30, 15.162346984245232, 265.92051556396166]","[31, 335.5852914460428, 50.45307027362287]","[32, 202.72946971122394, 157.01222267180856]","[33, 57.10919626466023, 291.1333755218299]","[34, 120.36356758699377, 258.48562354495937]","[35, 322.94725484991875, 282.1877470943457]","[36, 181.30667878176408, 147.01571648049054]","[37, 62.38813078745562, 308.81571785859103]","[38, 278.86698861891, 208.34826606176998]","[39, 143.5069306936225, 228.95686003589338]","[40, 121.08707630926419, 311.28245169364703]","[41, 136.00296502488976, 229.86665324163687]","[42, 147.85511318365394, 306.92104761468966]","[43, 228.25863131759047, 8.01116915139687]","[44, 287.2852527915496, 255.7107425664961]","[45, 125.6850495941112, 189.90814166619657]","[46, 259.0926390384261, 158.26023501088787]","[47, 313.7925009716527, 338.096329477538]","[48, 333.1594200961422, 143.9649382414429]","[49, 247.83298585816055, 332.9953474383493]"
1,"[0, 339.8650213880992, 310.36889930590837]","[1, 4.191285261722431, 272.70923111028344]","[2, 79.48575568367053, 23.330645638230983]","[3, 253.84013524711975, 28.009698490719316]","[4, 67.49526920203466, 134.10651527607436]","[5, 127.74357638642543, 101.04721471686211]","[6, 52.50656736960844, 63.83240492236517]","[7, 279.6706436973193, 130.23294085176641]","[8, 136.81994635243598, 191.46588596636963]","[9, 218.22238983891347, 149.7855989888525]","[10, 145.81460590773503, 123.68909904569755]","[11, 277.54907007971, 306.23204824127515]","[12, 307.9294784143728, 238.56433157292017]","[13, 162.6820149194598, 199.29616219403349]","[14, 162.6451157087379, 99.73289226409003]","[15, 131.2376878825774, 124.28179103596666]","[16, 174.9692521823291, 105.27302994974212]","[17, 157.88989973176467, 335.6658437371417]","[18, 42.883694602614604, 266.71544680030763]","[19, 155.5214406471944, 132.7098939554503]","[20, 290.4966323582505, 325.86753762968027]","[21, 241.00460438758523, 108.12551608511828]","[22, 167.44749229257644, 310.28674464407925]","[23, 40.51449587334879, 2.074497933495877]","[24, 67.44880243380437, 354.6165348155425]","[25, 294.69904831518585, 292.2701639274489]","[26, 15.634470546543444, 120.79228648763034]","[27, 170.02400447263443, 234.6947359559921]","[28, 21.660880317907097, 266.85395351899353]","[29, 51.12070652727795, 111.02884517105558]","[30, 17.927288906125074, 267.08460154387524]","[31, 336.7238884684439, 53.22860568513889]","[32, 203.98064023641533, 159.73886388709383]","[33, 58.949145397056405, 293.5028875370336]","[34, 117.36361286733502, 258.4691408268205]","[35, 324.5127342444467, 279.6285921038638]","[36, 184.10346264082614, 148.1010735856361]","[37, 62.3377215222508, 311.81529431302283]","[38, 281.5200999184415, 209.74862331343772]","[39, 141.06598998611287, 227.21278192341612]","[40, 119.02115507754333, 309.10714264334524]","[41, 133.685402852893, 227.96168458600772]","[42, 145.03439568330052, 305.89950330179863]","[43, 225.8190220267173, 9.757109158351657]","[44, 289.8120738741068, 254.09359222817105]","[45, 125.18958803739842, 192.86694511452154]","[46, 261.8939034956123, 159.33397494257784]","[47, 312.3732053468306, 335.4533009250322]","[48, 335.6973721111132, 145.56456306298836]","[49, 245.15492964999453, 331.6433064086822]"
2,"[0, 341.36345742743885, 307.76992076886575]","[1, 7.1911075119939545, 272.6765743073797]","[2, 77.5201044927193, 21.064323640916395]","[3, 251.56135541583916, 29.960893632305307]","[4, 69.16787642592432, 131.6160564680247]","[5, 126.88107965249586, 98.17387182330401]","[6, 53.14744626291688, 60.90165855938666]","[7, 282.5482426958949, 131.08112951202827]","[8, 133.96357768626615, 192.38303265197843]","[9, 220.10874020312403, 152.11834035973843]","[10, 144.73098717845906, 120.89164119086536]","[11, 276.64830599539926, 303.37047104252343]","[12, 310.77746929263674, 237.62149120608947]","[13, 160.34576271992026, 197.41416175297437]","[14, 159.88993034560102, 100.91988578334626]","[15, 131.63549613101918, 121.30828324255639]","[16, 172.37648521950416, 106.78218848233026]","[17, 154.91095936513068, 335.310999698107]","[18, 45.59544541154388, 267.9985709370424]","[19, 153.91624869481961, 130.1754593447272]","[20, 289.5862091742853, 323.0090188478461]","[21, 240.8763182357255, 111.1227719406036]","[22, 164.45128024288516, 310.4374541437295]","[23, 37.760205129445566, 0.8854300220421067]","[24, 65.0713221162725, 356.44617613004885]","[25, 296.68926083152365, 290.0253801650761]","[26, 18.195090784492137, 119.22920491681978]","[27, 167.1044715600218, 235.38490084366146]","[28, 24.178948116379974, 268.4847001462456]","[29, 53.55490916827999, 109.27537503941983]","[30, 20.484069367186077, 268.65395608442265]","[31, 337.70152159153514, 56.06484147869252]","[32, 206.39958867081197, 161.51331830232405]","[33, 60.38928398320403, 296.1346171684146]","[34, 114.76878772623249, 259.974757805704]","[35, 326.0851339619715, 277.0736832741151]","[36, 184.8805310371699, 150.99868720849952]","[37, 62.03534351129162, 314.80001666836654]","[38, 284.38279009670003, 210.6458439904743]","[39, 140.10876781469108, 224.36959256733402]","[40, 116.3579715894279, 307.726036670355]","[41, 131.10626479490287, 226.4293507849621]","[42, 143.63776345055737, 303.2444292149862]","[43, 223.49147050862865, 11.649859519768386]","[44, 291.3675198833354, 251.52832660598398]","[45, 122.41466655499075, 194.0070375522091]","[46, 264.4799544376495, 160.85461313925327]","[47, 310.82689946837434, 332.882515416622]","[48, 338.2867081392512, 147.07960066429953]","[49, 242.39686445596774, 330.46301983945506]"
3,"[0, 342.9220584775332, 305.2065708577836]","[1, 10.190982658118592, 272.64920447611087]","[2, 75.54180017770652, 18.809038284868997]","[3, 249.20086536680802, 31.812402943225706]","[4, 70.49432987379993, 128.92523479971985]","[5, 125.16101392894188, 95.71595117636384]","[6, 53.939199517151366, 58.00802299414886]","[7, 285.40679565763355, 131.99144537201045]","[8, 132.2803282506117, 194.86631099670117]","[9, 222.99619485140445, 152.93234628976825]","[10, 143.31881582862243, 118.24479928423386]","[11, 275.92370510642615, 300.4592936944906]","[12, 313.6536155726806, 236.76838946784852]","[13, 157.37169186233848, 197.0205851605775]","[14, 157.00532385368598, 101.74392788591244]","[15, 130.41453429759653, 118.56798176255]","[16, 170.31694179941243, 108.96353689575642]","[17, 152.0612110581319, 334.3734845852914]","[18, 48.48901194598305, 268.7905764362491]","[19, 150.92178432163743, 129.99329700574734]","[20, 288.8327213727427, 320.10518411891843]","[21, 240.2175192702914, 114.04954216102456]","[22, 161.9768507923711, 308.7412233532919]","[23, 35.109688057223565, 359.48016874745304]","[24, 62.692931305710275, 358.27463371835466]","[25, 297.2244923376097, 287.0735117339138]","[26, 21.02168214695964, 118.2240276838782]","[27, 164.1094789690287, 235.55816186032806]","[28, 27.014982502001608, 269.46291738365846]","[29, 55.9015754192984, 107.40637597405592]","[30, 23.177815235406275, 269.9744609868924]","[31, 338.74061828566425, 58.87914033635671]","[32, 209.28525767883679, 162.33363188634243]","[33, 61.569507555151446, 298.8927093206495]","[34, 112.0354801645856, 261.21129724035376]","[35, 327.8497865546349, 274.64757502689974]","[36, 187.52625910471264, 152.41294425466072]","[37, 61.58235715227825, 317.7656200401187]","[38, 285.8249342889809, 213.27647511791702]","[39, 137.90437250426555, 222.33473598384367]","[40, 113.57394039061874, 306.6083738034505]","[41, 129.30958974231214, 224.02686066939492]","[42, 142.33238384432056, 300.5433212786717]","[43, 221.16696068840042, 13.54634418769019]","[44, 292.4485598587307, 248.72987121566644]","[45, 120.59629372891499, 191.62092769191574]","[46, 267.02158653250683, 162.44838423147166]","[47, 309.03517451996277, 330.47633136106026]","[48, 340.3560966623737, 149.25161151610683]","[49, 239.5114692530762, 329.6417436842366]"
4,"[0, 344.6057984779023, 302.723625105022]","[1, 13.183351631839695, 272.4353635887406]","[2, 73.72641639116361, 16.420653536224606]","[3, 247.05624993460592, 33.91016952889739]","[4, 71.02359108698373, 125.97229007144956]","[5, 123.5463071448923, 93.18756789815141]","[6, 53.77428954683136, 55.012558973051455]","[7, 287.8828331399129, 133.68532800854337]","[8, 132.2334777566764, 197.86594514626307]","[9, 225.88435727407472, 152.12085518058998]","[10, 141.69599446407412, 115.72161660777829]","[11, 275.21399320086556, 297.54445081517355]","[12, 316.55661959718384, 236.01170747802846]","[13, 158.15347266789396, 194.12423939874847]","[14, 154.0436596349567, 102.22199174723082]","[15, 130.31810656131827, 115.56953188108187]","[16, 169.25750262418518, 111.77024112563063]","[17, 150.038615352784, 332.1578342038665]","[18, 51.48153260047323, 269.0022840942346]","[19, 148.69700160572927, 127.98075089025177]","[20, 288.01056174306825, 317.22004052746]","[21, 239.84388759760506, 117.02618445951553]","[22, 160.04223014859016, 306.4483555061065]","[23, 34.25915312646989, 2.3570751295878267]","[24, 60.24565066525465, 0.00980444968087113]","[25, 296.38082348938724, 284.1945843512695]","[26, 24.021676653707296, 118.21828664878835]","[27, 161.12917351469287, 235.21497182717428]","[28, 30.01175996913318, 269.6019310969838]","[29, 57.75176754157218, 105.04485334857124]","[30, 26.17519476099668, 269.849097596816]","[31, 339.7052659514977, 61.71981893148183]","[32, 211.80499726387757, 160.7054696021771]","[33, 62.70836919665386, 301.6681361637701]","[34, 109.27152799502036, 262.3777312952217]","[35, 328.6083680202332, 271.74506677367276]","[36, 190.52315828898438, 152.54930876364799]","[37, 61.124132949680046, 320.73041861340374]","[38, 287.8752337537725, 215.4665144108694]","[39, 134.9079507394214, 222.48121672376666]","[40, 110.96708472790095, 305.1236840871272]","[41, 129.35856020766295, 221.02726038043585]","[42, 142.16709157484874, 297.5478783288473]","[43, 218.7113852891111, 15.269756343387428]","[44, 293.7731610231568, 246.03813724753343]","[45, 119.01294089465624, 189.07279233400305]","[46, 269.79419982356893, 163.59407857911668]","[47, 307.1033868339273, 328.1810761822007]","[48, 342.58293990745386, 151.26187745917034]","[49, 236.54301547313867, 329.2078287658774]"
5,"[0, 346.37737654731757, 300.30256931385014]","[1, 16.166687386874848, 272.7511289648172]","[2, 71.88190394745438, 14.054692030831552]","[3, 245.32660395274587, 36.361357970742574]","[4, 72.88041100155166, 123.61597519332653]","[5, 121.66281655527095, 90.8525168925398]","[6, 54.18777718260478, 52.041190942150116]","[7, 290.4927020800025, 135.16471440687056]","[8, 134.1751726722286, 200.1528253037962]","[9, 228.60834847388486, 153.37778475035788]","[10, 141.41366666809583, 112.73493098394407]","[11, 274.4698591391922, 294.63820504128284]","[12, 319.3877803008859, 235.01947309552938]","[13, 160.96696358392407, 195.165521716574]","[14, 151.1519664584235, 103.02080998237024]","[15, 130.135798833154, 112.57507635590679]","[16, 168.53270374079204, 114.68136918510038]","[17, 147.58723819935884, 330.4284556878483]","[18, 54.16040035784125, 270.35271644668103]","[19, 147.06602896180055, 125.46282947869894]","[20, 287.1913663546296, 314.33405388238333]","[21, 239.78405272723117, 120.02558769820942]","[22, 157.06613614876045, 306.0703812951112]","[23, 32.34981306785393, 0.043113042481729646]","[24, 57.60358446244856, 358.58871818207086]","[25, 295.11968420257836, 281.47253958689345]","[26, 26.96021535043814, 118.8224309426581]","[27, 158.24667834466763, 234.38357445240018]","[28, 32.85613277987497, 270.5556308996014]","[29, 60.18718812891781, 103.29307523398793]","[30, 29.175167838140254, 269.8363878991913]","[31, 340.7372908102569, 64.53671876834204]","[32, 214.7627598862547, 161.2071071901514]","[33, 63.05845785290249, 304.64763913117355]","[34, 107.35047122658877, 264.6819753995785]","[35, 329.5956985919631, 268.912192201418]","[36, 193.52132691232575, 152.44449986130027]","[37, 60.4306516960061, 323.6491655621478]","[38, 289.92589038617035, 217.6562192713478]","[39, 131.97565269813975, 221.84747529613568]","[40, 107.97012512233538, 305.2587141675101]","[41, 128.40581204330772, 218.18256866861228]","[42, 140.29622641474057, 295.2026995397795]","[43, 216.18233245728447, 16.883414229629036]","[44, 295.39226949991837, 243.5125704318505]","[45, 116.01315703474984, 189.108803357941]","[46, 272.6320429314906, 164.56703618087602]","[47, 305.0197263062409, 326.0227530355515]","[48, 344.1211529168989, 153.837513446179]","[49, 233.54488605625014, 329.10190426640895]"
6,"[0, 347.1000229756039, 297.39090619121987]","[1, 19.149707364999124, 272.4323942630487]","[2, 70.00534619344738, 11.714065833448421]","[3, 243.52523013817688, 38.76032699517478]","[4, 74.60756448364887, 121.16302985164452]","[5, 119.90177030311484, 88.42378963371328]","[6, 54.44655508484001, 49.05237278151961]","[7, 292.24077356577095, 137.60279686664165]","[8, 137.14553031403926, 200.5735098408748]","[9, 230.5081816825943, 155.69955859358308]","[10, 139.33413288930856, 110.57263145268512]","[11, 272.96824596435806, 292.0410608648528]","[12, 322.26658374415143, 234.17538143282772]","[13, 163.8834374998837, 194.46254241565038]","[14, 148.22665238206338, 102.35557502038353]","[15, 129.34867147707405, 109.68017903038546]","[16, 168.2272308871979, 117.66577638515152]","[17, 145.28157749364544, 328.5090993608133]","[18, 57.013501925409834, 271.2799766286891]","[19, 145.48242839645002, 122.91484807189443]","[20, 286.40881098096, 311.4379173028794]","[21, 240.0894053912204, 123.01000719797729]","[22, 155.42925118467795, 303.55629943201274]","[23, 30.27475977709661, 357.8765134392977]","[24, 55.45739390080304, 0.6848732510253512]","[25, 293.34719881076734, 279.05214797894723]","[26, 29.918426785268874, 118.32344686792557]","[27, 155.5498462546277, 233.06938394941713]","[28, 35.85597979409612, 270.52533417917783]","[29, 62.01207092148454, 100.91194046388486]","[30, 32.13569675591465, 269.3513430280489]","[31, 341.7824130754873, 67.34878552621245]","[32, 217.126211569617, 163.05483448074705]","[33, 63.381525973896956, 307.6301929008812]","[34, 105.93792358318473, 267.328616507684]","[35, 330.8550145122115, 266.1893034021813]","[36, 196.51783042360927, 152.2997010116311]","[37, 59.70469168628688, 326.5600042839406]","[38, 292.4319305757586, 219.30538953792689]","[39, 129.79188313163297, 219.7904992436745]","[40, 104.97099363064457, 305.3308965445039]","[41, 126.20404128309713, 216.14487253830197]","[42, 139.40683469045055, 292.33756736817475]","[43, 213.64442122933386, 18.48310376170774]","[44, 296.44215963576244, 240.70228028621477]","[45, 113.74777296642831, 187.14207129103534]","[46, 275.4477818576826, 165.6022242311969]","[47, 302.7974810988428, 324.0074053637598]","[48, 344.963893414188, 156.71671271928062]","[49, 230.5482974310278, 329.24493087647903]"
7,"[0, 347.98825007158496, 294.5254127562309]","[1, 22.13515556713267, 272.13726881111756]","[2, 68.20587546805271, 9.313668968668019]","[3, 241.77345885068962, 41.195752493180265]","[4, 76.75497362078615, 119.06812317168492]","[5, 118.28322709628318, 85.89786051997729]","[6, 54.603625418723134, 46.056487451568906]","[7, 294.27658954117953, 139.80630618458682]","[8, 140.1369134981858, 200.3462948642439]","[9, 231.77682189198873, 158.41811556725636]","[10, 137.19166493512782, 108.4726716756159]","[11, 271.7104461022615, 289.3174714121434]","[12, 325.18287704698423, 233.4716532382437]","[13, 165.6208504956758, 192.01685312997796]","[14, 145.2950726841555, 101.71851892017382]","[15, 128.52828619977353, 106.79453040368321]","[16, 168.57166057373033, 120.64593882888427]","[17, 142.97625833055477, 326.5893328238909]","[18, 60.009317993079904, 271.4383625140761]","[19, 143.96039591585773, 120.32961749648688]","[20, 284.8696958010725, 308.86282032159113]","[21, 240.69486562902978, 125.94827503812253]","[22, 153.93411283762967, 300.95542240239644]","[23, 29.77405817964109, 0.8344346536483158]","[24, 52.99698897396272, 358.96836295511105]","[25, 291.48211351595376, 276.7023699377122]","[26, 32.88841535231009, 117.90016456065952]","[27, 152.5950544016618, 232.55053415839254]","[28, 38.855977591450895, 270.52169881585013]","[29, 63.72963012179842, 98.45226764145153]","[30, 35.090025308731, 268.82986167458165]","[31, 342.86460260185356, 70.1467965749796]","[32, 220.1172576960739, 162.8232247456166]","[33, 63.299204725626645, 310.62906322353325]","[34, 103.53570151601085, 269.1256499353037]","[35, 331.97575345937406, 263.4065090848964]","[36, 199.51694035500645, 152.2266283122509]","[37, 58.72029079060824, 329.39389822630807]","[38, 295.22355601457184, 220.40394650475685]","[39, 127.26970312899674, 218.16611996705777]","[40, 101.98868583961209, 305.65622751374445]","[41, 123.68200770119986, 214.52026593614178]","[42, 139.05620362481457, 289.3581281833933]","[43, 211.05078980662802, 19.99077615422305]","[44, 297.851026145896, 238.05367779497075]","[45, 111.94155328273774, 184.74674867095914]","[46, 277.89691810826105, 167.33477484405145]","[47, 300.42669058591684, 322.1691038803735]","[48, 346.4883902587488, 159.3004908388033]","[49, 227.56245880633765, 329.53607981999147]"
8,"[0, 348.50584537324437, 291.5704008943765]","[1, 25.129719717723507, 271.95675413582444]","[2, 66.32892148662602, 6.973360495067476]","[3, 239.98672395150777, 43.605644274992386]","[4, 79.2239555797381, 117.36397291822433]","[5, 116.83839700970893, 83.26870361691314]","[6, 54.45351011311689, 43.06024557297787]","[7, 295.18632905939506, 142.6650426203215]","[8, 142.14502220966895, 198.11750608940105]","[9, 234.03127685729478, 160.39736613487204]","[10, 134.6577008947205, 106.86673698145094]","[11, 269.60072613951496, 287.18461378004775]","[12, 327.9397369744478, 232.28855419744207]","[13, 168.17440014136656, 193.59145917816667]","[14, 142.36428491850515, 101.07782939106151]","[15, 127.1769082550087, 104.11613953407452]","[16, 169.9071438529067, 123.33229033437277]","[17, 140.58601935427134, 324.77639111598756]","[18, 62.98284785886355, 271.83600574272805]","[19, 142.2995981155739, 117.831267907944]","[20, 283.243523646909, 306.34179590183174]","[21, 241.66812548168272, 128.78601450100737]","[22, 152.42389244843255, 298.36327380016445]","[23, 27.936645483265494, 358.46295524551556]","[24, 50.98540024878774, 1.1940113551843865]","[25, 289.46354446541153, 274.483050450078]","[26, 35.86723394050971, 117.54429967253988]","[27, 149.7714310154076, 233.5640187278845]","[28, 41.841504228317774, 270.8160297529912]","[29, 65.2466109297749, 95.86406957557035]","[30, 38.07341904511239, 268.51464458475255]","[31, 343.99203055705993, 72.9268876177009]","[32, 223.10927845910444, 162.60456575633413]","[33, 62.81830016937083, 313.59026750689037]","[34, 104.9005717423277, 266.454109318859]","[35, 333.36396823995597, 260.7470242244443]","[36, 201.8092485213024, 154.16191208233036]","[37, 57.76671103930538, 332.2383112866608]","[38, 298.1164147545619, 221.19853338513127]","[39, 124.39770113679508, 217.29916866693205]","[40, 99.12752956404312, 306.5583277114898]","[41, 120.78550437159889, 213.7390691225215]","[42, 137.5263094670877, 286.77754222936017]","[43, 208.39037398126482, 21.377205970750737]","[44, 299.71936342546604, 235.70648461805308]","[45, 111.72036125882357, 181.75491410191012]","[46, 279.10467565931253, 170.08092154404366]","[47, 297.8957992915601, 320.5583310049658]","[48, 347.79341454031174, 162.0017704660413]","[49, 224.6073527550862, 330.05313709521073]"
9,"[0, 349.3791656431244, 288.70032916945104]","[1, 28.127210544227523, 271.83408080936647]","[2, 64.36378074674778, 4.706595868452972]","[3, 238.14268020278234, 45.97197110212059]","[4, 81.69322002777557, 115.66023200903122]","[5, 115.51028635760292, 80.57869950989722]","[6, 54.29134328629139, 40.064631792752294]","[7, 295.45192167262553, 145.653262920734]","[8, 144.8157386192297, 196.75102379544225]","[9, 236.74887129705226, 161.6680669104283]","[10, 132.17997934159342, 105.17531866974637]","[11, 267.2536898933868, 285.31607936522937]","[12, 330.80835504599935, 231.41047085312454]","[13, 165.1760534995015, 193.49187295815338]","[14, 139.50856673733932, 101.99699948944318]","[15, 126.05466723757269, 101.33395062985105]","[16, 169.9764854110256, 126.33148885203005]","[17, 138.21862815006125, 322.9337140183308]","[18, 65.92534297575463, 272.4205760867177]","[19, 140.37407906799012, 115.53075135782052]","[20, 281.6859669972963, 303.77781125225846]","[21, 242.87146116913976, 131.53410169454622]","[22, 151.18240753432084, 295.6322089514227]","[23, 27.455489411236663, 1.4241186713247203]","[24, 48.97280932351477, 358.9692691751759]","[25, 288.02547339025125, 271.8501904874542]","[26, 38.86461267387502, 117.41891734216838]","[27, 147.45469384804437, 235.4699906314964]","[28, 44.83099523633688, 271.06691521086566]","[29, 66.67386907308457, 93.22533234114245]","[30, 41.046518431789664, 268.1137954398873]","[31, 345.14109996261266, 75.69810386715216]","[32, 224.99604238894602, 164.93697264044522]","[33, 62.06926202688387, 316.49525319723375]","[34, 107.18263847391559, 268.4014591673916]","[35, 334.9302131335869, 258.1883376603699]","[36, 200.6227664427845, 156.91731772893775]","[37, 56.56437929950809, 334.9868378714833]","[38, 301.0418571762675, 221.86320370738528]","[39, 121.5213365520851, 216.44680326651613]","[40, 96.30733020613742, 307.58130160249016]","[41, 117.83417124886445, 214.27724455734787]","[42, 136.3693712972403, 284.0096018269761]","[43, 205.59322704829552, 22.461627030754848]","[44, 302.0132996626139, 233.77313091531272]","[45, 111.19530435235883, 178.8012189170656]","[46, 279.6254120165552, 173.03538150252095]","[47, 295.3239910658302, 319.01372670286503]","[48, 349.20265370031734, 164.65017470065254]","[49, 221.76470315315905, 331.0119609792809]"
