0,"[0, 2568.6599118305494, 2537.3873965019793]","[1, 2522.7328378493407, 2548.988080384671]","[2, 2530.087893420554, 2509.279142684058]","[3, 2508.831524302517, 2502.004734412551]","[4, 2525.4860763645697, 2507.362872040668]","[5, 2557.5347449364285, 2563.048043385657]","[6, 2532.0094132919903, 2501.762531808706]","[7, 2504.3911415198495, 2560.974392091075]","[8, 2542.5069436085446, 2552.040794803525]","[9, 2503.8429401668436, 2565.9958858804716]","[10, 2517.008425886867, 2526.771497036806]","[11, 2527.1393942377026, 2501.09615561477]","[12, 2556.5729100819462, 2524.9447876049053]","[13, 2556.7555528484295, 2543.813859831423]","[14, 2505.625480019516, 2545.451500832629]","[15, 2519.7991942641656, 2552.993271965]","[16, 2515.058173174531, 2526.817358668118]","[17, 2559.6462778083696, 2560.0704394537047]","[18, 2504.4569162508074, 2556.622478796508]","[19, 2502.7033173212953, 2570.985293852899]","[20, 2562.558590998601, 2563.0524627065492]","[21, 2542.4837836122388, 2502.6336018762117]","[22, 2562.051039190712, 2549.8106534677754]","[23, 2526.9739218756604, 2537.605299255803]","[24, 2553.79408623622, 2552.107003793738]"
1,"[0, 2571.651251669292, 2537.6151814206046]","[1, 2522.4687077335902, 2551.97643031096]","[2, 2527.122785017517, 2508.8229276489706]","[3, 2507.569281668967, 2499.2832011068485]","[4, 2522.7571631587175, 2506.116664708429]","[5, 2557.5861240156146, 2560.04848338622]","[6, 2529.009623050392, 2501.798007242607]","[7, 2505.1853564464373, 2563.867352970587]","[8, 2541.5715875350106, 2549.190337118222]","[9, 2504.1097262259923, 2568.983999867361]","[10, 2517.6627990853385, 2523.8437341165677]","[11, 2524.226027288591, 2500.38040913743]","[12, 2558.2693463593346, 2527.4190761807913]","[13, 2559.42637175378, 2542.4475778785227]","[14, 2508.321374297275, 2546.767614066035]","[15, 2519.547945464583, 2555.982732458251]","[16, 2516.0373480247363, 2523.981654767368]","[17, 2560.211410618572, 2557.1241494294823]","[18, 2505.8334515101524, 2559.288027648017]","[19, 2502.6086717791927, 2573.9838005181173]","[20, 2563.0415449659704, 2560.091591978976]","[21, 2540.0295148092805, 2504.3588742149527]","[22, 2564.197108940459, 2547.7143747102577]","[23, 2529.740138269697, 2536.444245053208]","[24, 2554.949838446527, 2549.3385679847706]"
2,"[0, 2574.650709428679, 2537.5581450317577]","[1, 2521.7417721187594, 2554.8870255442225]","[2, 2524.2780597937967, 2507.8702795494446]","[3, 2506.1967242806977, 2496.6156017711337]","[4, 2520.198791022845, 2504.5499062668077]","[5, 2557.872198359468, 2557.0621542901913]","[6, 2526.0453715511553, 2501.336257256928]","[7, 2505.549013529087, 2566.845230323038]","[8, 2540.8924391808364, 2546.26822187186]","[9, 2504.042943439267, 2571.983256451816]","[10, 2517.622137323616, 2520.844009692369]","[11, 2521.4555226943216, 2499.229624929538]","[12, 2560.4744341835003, 2529.4531822959475]","[13, 2562.238549838744, 2541.4027552053144]","[14, 2510.7567070626933, 2548.5195142691514]","[15, 2518.8048647497176, 2558.889247734522]","[16, 2516.3353673020506, 2520.9964940496934]","[17, 2561.1894059541173, 2554.2880385142234]","[18, 2506.6910878663493, 2562.1628250114027]","[19, 2502.2442783714414, 2576.9615878584736]","[20, 2563.8938435943724, 2557.215207608273]","[21, 2537.38642478748, 2505.7780553650027]","[22, 2566.6346801760146, 2545.9655904263645]","[23, 2530.808152409735, 2533.6407925751587]","[24, 2556.6685594270484, 2546.8797068274225]"
3,"[0, 2577.6491440090417, 2537.4612426722088]","[1, 2520.6308699342444, 2557.673761329409]","[2, 2521.651442267267, 2506.4208381503777]","[3, 2504.8346088283565, 2493.942655551231]","[4, 2517.857711756356, 2502.6739137646864]","[5, 2558.5651167671476, 2554.14327366908]","[6, 2523.198542034942, 2500.389916036429]","[7, 2505.496577688511, 2569.844772035137]","[8, 2540.7548872592083, 2543.271376952807]","[9, 2503.6645192889264, 2574.9592932732344]","[10, 2517.1253203070955, 2517.885433539539]","[11, 2518.864519103839, 2497.717440947972]","[12, 2563.045992592196, 2530.9982024740248]","[13, 2565.122843097221, 2540.577617399185]","[14, 2512.7141103704753, 2550.792963694734]","[15, 2517.7512935908435, 2561.6981599462492]","[16, 2516.1109035200257, 2518.0049031668086]","[17, 2562.6055404841436, 2551.6433149005225]","[18, 2507.027575650813, 2565.143894613225]","[19, 2501.6439684057805, 2579.9009122613134]","[20, 2565.1406482725333, 2554.486567270208]","[21, 2534.5668567213866, 2506.80276796894]","[22, 2569.262410817138, 2544.5181680009127]","[23, 2528.6305796445395, 2531.5772575373467]","[24, 2558.8527477718817, 2544.8231754577873]"
4,"[0, 2580.646477637066, 2537.3347866627973]","[1, 2519.3132096603376, 2560.368899804992]","[2, 2519.245014669907, 2504.6294403110733]","[3, 2503.4679316485153, 2491.2720388647517]","[4, 2515.691494852415, 2500.598460964674]","[5, 2559.723926672363, 2551.3761163545105]","[6, 2520.512614975885, 2499.053579314856]","[7, 2505.1035069024215, 2572.81890978533]","[8, 2541.6821289101904, 2540.418269362707]","[9, 2503.03291358176, 2577.8920520820484]","[10, 2516.3195713474856, 2514.9956638923027]","[11, 2516.4448148553793, 2495.944017324022]","[12, 2565.8342026754135, 2532.105399173733]","[13, 2568.0458660277, 2539.902386366209]","[14, 2513.9667452314397, 2553.5189324959306]","[15, 2516.5025291730517, 2564.425903964455]","[16, 2515.5065391201183, 2515.066409731028]","[17, 2564.4397184747904, 2549.269332782092]","[18, 2506.914712883506, 2568.141770860797]","[19, 2500.8499754542445, 2582.7939340712746]","[20, 2566.7807314697884, 2551.974570632853]","[21, 2531.6162440527646, 2507.344879470171]","[22, 2572.0123645138547, 2543.3191039217604]","[23, 2527.3658045853635, 2528.8569001987444]","[24, 2561.373239577869, 2543.196177899107]"
5,"[0, 2583.643585957332, 2537.203098711216]","[1, 2517.875216690714, 2563.0018024274436]","[2, 2517.056927545426, 2502.5770576138943]","[3, 2502.123858296846, 2488.589974953259]","[4, 2513.6921231892093, 2498.361831144527]","[5, 2561.357906662734, 2548.8601454899995]","[6, 2518.021189822068, 2497.382411847805]","[7, 2504.43228889915, 2575.7428568423206]","[8, 2543.9276488355167, 2538.4288874825843]","[9, 2502.188880773259, 2580.7708727812537]","[10, 2515.359533560128, 2512.153424027892]","[11, 2514.2030326441236, 2493.9504244575373]","[12, 2568.7284706221794, 2532.894837614857]","[13, 2570.9939465280677, 2539.3466693848663]","[14, 2514.4180573708136, 2556.4847911157663]","[15, 2515.1227211831906, 2567.089760175123]","[16, 2514.6930815734495, 2512.1788005435224]","[17, 2566.629032245566, 2547.2182586212944]","[18, 2506.4348268707395, 2571.1031403775496]","[19, 2499.8866705143046, 2585.6350682801226]","[20, 2568.779602669486, 2549.73749353829]","[21, 2528.616981264879, 2507.2783758672135]","[22, 2574.817701956457, 2542.256050850115]","[23, 2525.940634663757, 2526.217034540316]","[24, 2564.053238660283, 2541.8479921113694]"
6,"[0, 2586.636038180974, 2536.990425983249]","[1, 2516.442443545825, 2565.6375492125662]","[2, 2514.9932933888795, 2500.3995787809467]","[3, 2500.7280517516006, 2485.9344666990355]","[4, 2511.7668727996906, 2496.0610897558313]","[5, 2563.346494719718, 2546.6139225403303]","[6, 2515.6682280201376, 2495.5213447456686]","[7, 2503.6357462614314, 2578.635177679693]","[8, 2546.7413905537283, 2537.3882830701405]","[9, 2501.2686813513756, 2583.626259449284]","[10, 2514.225994693636, 2509.375819009508]","[11, 2512.056809120117, 2491.8543031382906]","[12, 2571.6906245280716, 2533.369857864748]","[13, 2573.9420960923226, 2538.791318912836]","[14, 2514.303729722843, 2559.482611855722]","[15, 2513.7443157544258, 2569.7543424076603]","[16, 2513.6633041206505, 2509.3610783432855]","[17, 2569.0275643027185, 2545.4163030250565]","[18, 2505.7765834659604, 2574.030035596047]","[19, 2498.88186562955, 2588.461792027427]","[20, 2571.0049942434966, 2547.7256206938187]","[21, 2525.6971675945415, 2506.5893997206663]","[22, 2577.6778840879956, 2541.3508667945625]","[23, 2524.5513259424433, 2523.55812098834]","[24, 2566.8513576179707, 2540.766081625872]"
7,"[0, 2589.628621911712, 2536.779611812655]","[1, 2514.9679875577676, 2568.2502067751416]","[2, 2513.0756011920257, 2498.0925337796243]","[3, 2499.349143627267, 2483.270144574245]","[4, 2509.9517557118247, 2493.67250231608]","[5, 2565.663161426379, 2544.707864993914]","[6, 2513.481671830081, 2493.4673311070273]","[7, 2502.685354840018, 2581.480657629737]","[8, 2549.6825070551363, 2536.7968156364254]","[9, 2500.2305377562675, 2586.440910027231]","[10, 2513.0398219745703, 2506.6202801728114]","[11, 2510.041005626606, 2489.6324713994886]","[12, 2574.673744958942, 2533.687651028494]","[13, 2576.9026243088883, 2538.306269761802]","[14, 2513.7389631671354, 2562.428972108229]","[15, 2512.313331961122, 2572.3910610849753]","[16, 2512.555781108489, 2506.5729978606714]","[17, 2571.6164442861177, 2543.9004862711067]","[18, 2504.921916824789, 2576.9057172426255]","[19, 2497.778711219559, 2591.251603911357]","[20, 2573.4533366911874, 2545.991948504841]","[21, 2522.9680423487257, 2505.3436568127395]","[22, 2580.5758388151175, 2540.5750714610176]","[23, 2523.1807445136396, 2520.8895058892635]","[24, 2569.7194717916423, 2539.8863537777365]"
8,"[0, 2592.621546496136, 2536.573693304625]","[1, 2513.4667883032944, 2570.847590227458]","[2, 2511.27516109424, 2495.692863916021]","[3, 2497.9863099950417, 2480.597564455544]","[4, 2508.2265603100527, 2491.218179430699]","[5, 2568.210705490541, 2543.1235609696964]","[6, 2511.4386516254713, 2491.2704996515995]","[7, 2501.6191085663045, 2584.284782962847]","[8, 2552.6524980990994, 2536.37355070901]","[9, 2499.1009335268564, 2589.220117519466]","[10, 2511.821283275005, 2503.8789003308957]","[11, 2508.135529933144, 2487.3153260907898]","[12, 2577.666705407473, 2533.8930476047303]","[13, 2579.8714314509857, 2537.874779144253]","[14, 2512.883419005923, 2565.304392805834]","[15, 2510.848921918022, 2575.009362676784]","[16, 2511.396655961799, 2503.8059725817284]","[17, 2574.332351561087, 2542.626183452398]","[18, 2503.9246357976585, 2579.735104199711]","[19, 2496.6009508089805, 2594.0107487816517]","[20, 2576.060441058167, 2544.5076955548093]","[21, 2520.4760304842875, 2503.673364363047]","[22, 2583.4985564050116, 2539.8985199923745]","[23, 2521.821519819374, 2518.215088526454]","[24, 2572.6284179559934, 2539.15284698642]"
9,"[0, 2595.6145669237208, 2536.369172596479]","[1, 2511.9513654796992, 2573.436700821026]","[2, 2509.5655430769616, 2493.2276648905877]","[3, 2496.6350864912692, 2477.9190956685593]","[4, 2506.5720619764043, 2488.7156536538178]","[5, 2570.908167640212, 2541.81066419116]","[6, 2509.5139970713685, 2488.969259801568]","[7, 2500.4673328678264, 2587.0548755137193]","[8, 2555.631971001538, 2536.0232062733]","[9, 2497.902370748824, 2591.9702897444577]","[10, 2510.5805998276032, 2501.1474712940467]","[11, 2506.3207622413975, 2484.9264731809203]","[12, 2580.664273723677, 2534.01381262321]","[13, 2582.8456405568977, 2537.482248643132]","[14, 2511.841545560511, 2568.1176648729734]","[15, 2509.3641320423408, 2577.6161612929172]","[16, 2510.201772718515, 2501.0541996923134]","[17, 2577.1311935176464, 2541.5461447020734]","[18, 2502.823113607208, 2582.5255609479773]","[19, 2495.366311317014, 2596.74491507595]","[20, 2578.777081216459, 2543.2349558915807]","[21, 2518.210530596161, 2501.7067657113394]","[22, 2586.4378846849554, 2539.298229010664]","[23, 2520.471113386805, 2515.5362077028867]","[24, 2575.562031879543, 2538.5252250081926]"
